metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
teleport.audit.failed_disk_monitoring.count,count,,,,Numer of times disk monitoring failed.,0,teleport,failed disk monitoring,
teleport.audit.failed_emit_events.count,count,,,,Number of times emitting events failed.,0,teleport,failed emit events,
teleport.audit.percentage_disk_space_used,gauge,,,,Percentage of disk space used.,0,teleport,disk space used,
teleport.audit.server_open_files,gauge,,,,Number of open files on the server.,0,teleport,server open files,
teleport.auth.generate.requests.throttled.total.count,count,,,,Number of times auth generate requests were throttled.,0,teleport,auth generate requests throttled,
teleport.auth.generate.requests.total.count,count,,,,Number of auth generate requests.,0,teleport,auth generate requests,
teleport.auth.generate.requests,gauge,,,,Number of auth generate requests.,0,teleport,auth generate requests,
teleport.auth.generate.seconds.bucket,count,,,,Bucket of auth generate seconds.,0,teleport,auth generate seconds,
teleport.auth.generate.seconds.sum,count,,,,Sum of auth generate seconds.,0,teleport,auth generate seconds,
teleport.auth.generate.seconds.count,count,,,,Count of auth generate seconds.,0,teleport,auth generate seconds,
teleport.backend.batch.read.requests.count,count,,,,Number of backend batch read requests.,0,teleport,batch read requests,
teleport.backend.batch.read.seconds.bucket,count,,,,Bucket of backend batch read seconds.,0,teleport,batch read seconds,
teleport.backend.batch.read.seconds.sum,count,,,,Sum of backend batch read seconds.,0,teleport,batch read seconds,
teleport.backend.batch.read.seconds.count,count,,,,Count of backend batch read seconds.,0,teleport,batch read seconds,
teleport.backend.batch.write.requests.total.count,counter,,,,Number of backend batch write requests.,0,teleport,batch write requests,
teleport.backend.batch.write.seconds.bucket,count,,,,Bucket of backend batch write seconds.,0,teleport,batch write seconds,
teleport.backend.batch.write.seconds.sum,count,,,,Sum of backend batch write seconds.,0,teleport,batch write seconds,
teleport.backend.batch.write.seconds.count,count,,,,Count of backend batch write seconds.,0,teleport,batch write seconds,
teleport.backend.read.requests.total.count,count,,,,Number of backend read requests.,0,teleport,read requests,
teleport.backend.read.seconds.bucket,count,,,,Bucket of backend read seconds.,0,teleport,read seconds,
teleport.backend.read.seconds.sum,count,,,,Sum of backend read seconds.,0,teleport,read seconds,
teleport.backend.read.seconds.count,count,,,,Count of backend read seconds.,0,teleport,read seconds,
teleport.backend.requests.count,count,,,,Number of backend requests.,0,teleport,backend requests,
teleport.backend.write.requests.count,count,,,,Number of backend write requests.,0,teleport,write requests,
teleport.backend.write.seconds.bucket,count,,,,Bucket of backend write seconds.,0,teleport,write seconds,
teleport.backend.write.seconds.sum,count,,,,Sum of backend write seconds.,0,teleport,write seconds,
teleport.backend.write.seconds.count,count,,,,Count of backend write seconds.,0,teleport,write seconds,
teleport.cluster_name_not_found.total.count,count,,,,Number of times cluster name was not found.,0,teleport,cluster name not found,
teleport.dynamo.requests.total.count,count,,,,Number of dynamo db requests.,0,teleport,dynamo requests,
teleport.dynamo.requests.count,count,,,,Number of dynamo db requests.,0,teleport,dynamo requests,
teleport.dynamo.requests.seconds.bucket,count,,,,Bucket of dynamo db requests seconds.,0,teleport,dynamo requests seconds,
teleport.dynamo.requests.seconds.sum,count,,,,Sum of dynamo db requests seconds.,0,teleport,dynamo requests seconds,
teleport.dynamo.requests.seconds.count,count,,,,Count of dynamo db requests seconds.,0,teleport,dynamo requests seconds,
teleport.etcd.backend.batch.read.requests.count,count,,,,Number of etcd backend batch read requests.,0,teleport,etcd backend batch read requests,
teleport.etcd.backend.batch.read.seconds.bucket,count,,,,Bucket of etcd backend batch read seconds.,0,teleport,etcd backend batch read seconds,
teleport.etcd.backend.batch.read.seconds.sum,count,,,,Sum of etcd backend batch read seconds.,0,teleport,etcd backend batch read seconds,
teleport.etcd.backend.batch.read.seconds.count,count,,,,Count of etcd backend batch read seconds.,0,teleport,etcd backend batch read seconds,
teleport.etcd.backend.read.requests.count,count,,,,Number of etcd backend read requests.,0,teleport,etcd backend read requests,
teleport.etcd.backend.read.seconds.bucket,count,,,,Bucket of etcd backend read seconds.,0,teleport,etcd backend read seconds,
teleport.etcd.backend.read.seconds.sum,count,,,,Sum of etcd backend read seconds.,0,teleport,etcd backend read seconds,
teleport.etcd.backend.read.seconds.count,count,,,,Count of etcd backend read seconds.,0,teleport,etcd backend read seconds,
teleport.etcd.backend.tx.requests.count,count,,,,Number of etcd backend tx requests.,0,teleport,etcd backend tx requests,
teleport.etcd.backend.tx.seconds.bucket,count,,,,Bucket of etcd backend tx seconds.,0,teleport,etcd backend tx seconds,
teleport.etcd.backend.tx.seconds.sum,count,,,,Sum of etcd backend tx seconds.,0,teleport,etcd backend tx seconds,
teleport.etcd.backend.tx.seconds.count,count,,,,Count of etcd backend tx seconds.,0,teleport,etcd backend tx seconds,
teleport.etcd.backend.write.requests.count,count,,,,Number of etcd backend write requests.,0,teleport,etcd backend write requests,
teleport.etcd.backend.write.seconds.bucket,count,,,,Bucket of etcd backend write seconds.,0,teleport,etcd backend write seconds,
teleport.etcd.backend.write.seconds.sum,count,,,,Sum of etcd backend write seconds.,0,teleport,etcd backend write seconds,
teleport.etcd.backend.write.seconds.count,count,,,,Count of etcd backend write seconds.,0,teleport,etcd backend write seconds,
teleport.etcd.events.count,count,,,,Number of etcd events.,0,teleport,etcd events,
teleport.etcd.event_backpressure.count,count,,,,Number of etcd event backpressure.,0,teleport,etcd event backpressure,
teleport.firestore.events.backend.batch.read.requests.count,count,,,,Number of firestore backend batch read requests.,0,teleport,firestore backend batch read requests,
teleport.firestore.events.backend.batch.read.seconds.bucket,count,,,,Bucket of firestore backend batch read seconds.,0,teleport,firestore backend batch read seconds,
teleport.firestore.events.backend.batch.read.seconds.sum,count,,,,Sum of firestore backend batch read seconds.,0,teleport,firestore backend batch read seconds,
teleport.firestore.events.backend.batch.read.seconds.count,count,,,,Count of firestore backend batch read seconds.,0,teleport,firestore backend batch read seconds,
teleport.firestore.events.backend.batch.write.requests.count,count,,,,Number of firestore backend batch write requests.,0,teleport,firestore backend batch write requests,
teleport.firestore.events.backend.batch.write.seconds.bucket,count,,,,Bucket of firestore backend batch write seconds.,0,teleport,firestore backend batch write seconds,
teleport.firestore.events.backend.batch.write.seconds.sum,count,,,,Sum of firestore backend batch write seconds.,0,teleport,firestore backend batch write seconds,
teleport.firestore.events.backend.batch.write.seconds.count,count,,,,Count of firestore backend batch write seconds.,0,teleport,firestore backend batch write seconds,
teleport.firestore.events.backend.write.requests.count,count,,,,Number of firestore backend write requests.,0,teleport,firestore backend write requests,
teleport.firestore.events.backend.write.seconds.bucket,count,,,,Bucket of firestore backend write seconds.,0,teleport,firestore backend write seconds,
teleport.firestore.events.backend.write.seconds.sum,count,,,,Sum of firestore backend write seconds.,0,teleport,firestore backend write seconds,
